codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
EDAR 629	629		066	EDAR	
EDAR 905	905		066	EDAR	
EH1	EH1	almacen	042	JC TORNILLOS	
EH10	EH10		042	JC TORNILLOS	
EH14	EH14	almacen	042	JC TORNILLOS	
EH2	EH2	almacen	042	JC TORNILLOS	
EH5	EH5	almacen	042	JC TORNILLOS	
EN101	EN101	1-2-05-3-12	80	CROSS X	
EN106	EN106		80	CROSS X	
ER06	ER06		042	JC TORNILLOS	
ER09	ER9		042	JC TORNILLOS	
ER10	ER10	almacen	042	JC TORNILLOS	
ER11	ER11	almacen	042	JC TORNILLOS	
ER12	ER12		042	JC TORNILLOS	
ER13	ER13	almacen	042	JC TORNILLOS	
ER14	ER14		042	JC TORNILLOS	
ER15	ER15	almacen	042	JC TORNILLOS	
ER16	ER16	almacen	042	JC TORNILLOS	
ER17	ER17		042	JC TORNILLOS	
ER18	ER18	almacen	042	JC TORNILLOS	
ER19	ER19	almacen	042	JC TORNILLOS	
ER21	ER21	almacen	042	JC TORNILLOS	
ER22	ER22	almacen	042	JC TORNILLOS	
ER23	ER23		042	JC TORNILLOS	
ER24	ER24	almacen	042	JC TORNILLOS	
ER25	ER25		042	JC TORNILLOS	
ER26	ER26		042	JC TORNILLOS	
ER27	ER27		042	JC TORNILLOS	
ER28	ER28	almacen	042	JC TORNILLOS	
ER29	ER29	almacen	042	JC TORNILLOS	
ER30	ER30		042	JC TORNILLOS	
ER31	ER31		042	JC TORNILLOS	
ER32	ER32	almacen	042	JC TORNILLOS	
ER33	ER33	almacen	042	JC TORNILLOS	
ER34	ER34		042	JC TORNILLOS	
ER35	ER35	almacen	042	JC TORNILLOS	
ER36	ER36	almacen	042	JC TORNILLOS	
ES10125	ES10125	1-2-10-3-08	042	JC TORNILLOS	
ES10150	ES10150	1-2-10-3-08	042	JC TORNILLOS	
ES640	ES640	1-2-10-2-06	042	JC TORNILLOS	
ES641	ES641	1-2-10-2-06	042	JC TORNILLOS	
ES645	ES645	1-2-10-2-06	042	JC TORNILLOS	
ES650	ES650	1-2-10-2-06	042	JC TORNILLOS	
ES665	ES665	1-2-10-2-08	042	JC TORNILLOS	
ES740	ES740	1-2-10-2-08	042	JC TORNILLOS	
ES830	ES830	1-2-10-2-08	042	JC TORNILLOS	
ES840	ES840	1-2-10-2-09	042	JC TORNILLOS	
ES850	ES850	1-2-10-2-09	042	JC TORNILLOS	
EVCG	EVCG	1-2-10-2-04	042	JC TORNILLOS	
EVD	EVD	1-2-10-2-05	042	JC TORNILLOS	
EVRX	EVRX	1-2-10-2-05	042	JC TORNILLOS	
EVS	EVS	1-2-10-2-05	042	JC TORNILLOS	
EVST	EVST	1-2-10-2-04	042	JC TORNILLOS	
EVT	EVT	1-2-10-2-05	042	JC TORNILLOS	
F169	F169	1-2-05-2-08	80	CROSS X	
F171	F171		80	CROSS X	
F200A	F200A		80	CROSS X	
F302	F302	1-2-03-3-04	80	CROSS X	
F414	F414	1-2-05-2-08	80	CROSS X	
F418	F418	1-2-05-2-08	80	CROSS X	
F423	F423	1-4-04-5-04	80	CROSS X	
F601	F601	1-4-04-1-03	80	CROSS X	
F604	F604	1-4-04-1-04	80	CROSS X	
F605	F605	1-4-04-1-02	80	CROSS X	
F715	F715		80	CROSS X	
F718	F718	1-2-04-2-03	80	CROSS X	
F801-10	F801		80	CROSS X	
F801-20	F801		80	CROSS X	
F801-25	F801	1-2-05-3-09	80	CROSS X	
F801A	F801A		80	CROSS X	
F802	F802	1-2-05-4-06	80	CROSS X	
F902	F902	1-2-06-4-09	80	CROSS X	
FA86	FA86	1-2-05-3-13	80	CROSS X	
FAP-1001	FAP-1001	2-1-05-3-01	020	WEGA	
